Bolivia,5680.0,5770.0,6820.0,7820.0,9040.0,8320.0,8120.0,8280.0,8610.0,7960.0,8000.0,7890.0,8230.0,9110.0,9420.0,10070.0,11160.0,12040.0,13020.0,13870.0,15040.0,16450.0,17250.0,18560.0,20170.0,20410.0,21610.0,22250.0,22710.0
Brazil,198260.0,205180.0,208660.0,215180.0,222720.0,241500.0,262900.0,281510.0,290760.0,300620.0,312670.0,319560.0,317280.0,309350.0,326760.0,330510.0,333980.0,351520.0,372160.0,350830.0,397730.0,417120.0,451760.0,482860.0,506780.0,479970.0,441910.0,449840.0,427710.0
Bhutan,130.0,170.0,200.0,170.0,190.0,230.0,280.0,370.0,360.0,360.0,370.0,360.0,400.0,360.0,310.0,410.0,400.0,390.0,400.0,370.0,470.0,670.0,760.0,850.0,940.0,960.0,1230.0,1330.0,1380.0
Botswana,2810.0,2740.0,3300.0,3250.0,3080.0,3190.0,2920.0,3070.0,3680.0,3860.0,4030.0,3870.0,4030.0,3920.0,3970.0,4280.0,4090.0,4320.0,4390.0,4090.0,3370.0,4000.0,5130.0,5560.0,7130.0,7210.0,7120.0,7870.0,8210.0
Central African Republic,160.0,150.0,150.0,160.0,160.0,160.0,170.0,170.0,230.0,240.0,240.0,250.0,250.0,240.0,240.0,240.0,260.0,260.0,260.0,260.0,270.0,290.0,300.0,300.0,300.0,310.0,310.0,310.0,330.0
Canada,419120.0,412930.0,426000.0,422680.0,438820.0,449500.0,463160.0,478530.0,486760.0,495140.0,515000.0,506940.0,525470.0,545360.0,537250.0,549970.0,541070.0,571310.0,550200.0,520800.0,535030.0,547720.0,547140.0,556350.0,561830.0,558800.0,550480.0,562260.0,574400.0
Switzerland,43330.0,45670.0,45700.0,43450.0,42590.0,43440.0,44010.0,42750.0,44250.0,44530.0,43710.0,45160.0,43570.0,44840.0,45280.0,45850.0,45480.0,43540.0,44960.0,43670.0,45210.0,41190.0,42470.0,43480.0,39730.0,39030.0,39610.0,38620.0,37480.0
Chile,30410.0,29560.0,31490.0,32300.0,35380.0,38250.0,44060.0,50560.0,51410.0,53770.0,49820.0,47870.0,48690.0,49910.0,54730.0,55720.0,57050.0,64740.0,68250.0,65370.0,69720.0,76470.0,78490.0,82940.0,76390.0,81970.0,86160.0,87040.0,86620.0
China,2173360.0,2302190.0,2418180.0,2643530.0,2763900.0,3084870.0,3064880.0,3128650.0,3232120.0,3149200.0,3344090.0,3526750.0,3808330.0,4413300.0,5121830.0,5819120.0,6431910.0,6988210.0,7195010.0,7715110.0,8470570.0,9278250.0,9533210.0,9936680.0,9894940.0,9830430.0,9814310.0,10017770.0,10313460.0
Côte d'Ivoire,2710.0,2790.0,2770.0,2960.0,3090.0,3260.0,3880.0,4790.0,4830.0,6690.0,6330.0,6260.0,6380.0,5150.0,5420.0,5810.0,5630.0,5550.0,6360.0,5930.0,6220.0,5990.0,7890.0,8460.0,8960.0,9560.0,9320.0,10380.0,9910.0
Cameroon,2900.0,2650.0,2530.0,6660.0,7290.0,7110.0,6340.0,6590.0,6760.0,6520.0,6700.0,6330.0,6220.0,6100.0,6540.0,6610.0,6950.0,8120.0,8210.0,8790.0,8990.0,7970.0,7060.0,7370.0,7750.0,8010.0,8550.0,8320.0,8620.0
Democratic Republic of the Congo,3180.0,1740.0,1480.0,1430.0,1280.0,1240.0,1250.0,1200.0,1330.0,1320.0,920.0,790.0,880.0,1070.0,1170.0,1490.0,1600.0,1750.0,1870.0,1920.0,2060.0,2520.0,2430.0,3650.0,4790.0,2890.0,2060.0,2280.0,2200.0
Colombia,48860.0,50580.0,53210.0,55780.0,56430.0,59060.0,58850.0,63590.0,64090.0,55870.0,58220.0,58560.0,56430.0,56020.0,56220.0,57910.0,57720.0,59190.0,60000.0,62960.0,64680.0,69910.0,70290.0,77790.0,79820.0,81030.0,83760.0,76060.0,79490.0
Comoros,70.0,70.0,70.0,70.0,70.0,80.0,80.0,80.0,90.0,90.0,100.0,110.0,110.0,140.0,150.0,140.0,150.0,120.0,120.0,130.0,160.0,150.0,150.0,180.0,160.0,180.0,200.0,250.0,260.0
Costa Rica,2870.0,3060.0,4150.0,4180.0,4850.0,4810.0,4530.0,4490.0,5020.0,5040.0,4950.0,5420.0,5520.0,5800.0,5940.0,6270.0,6560.0,7600.0,7520.0,7200.0,7110.0,7430.0,7450.0,7780.0,7830.0,7540.0,8080.0,8180.0,8260.0
Cuba,35410.0,27430.0,22090.0,20090.0,21610.0,23080.0,25030.0,27400.0,26950.0,27830.0,28200.0,27190.0,25960.0,25230.0,24970.0,25860.0,26300.0,27200.0,26310.0,27100.0,30260.0,28540.0,28850.0,27350.0,26880.0,27490.0,28450.0,25650.0,24970.0
Czechia,150200.0,136900.0,134140.0,130980.0,124710.0,125180.0,126740.0,124790.0,118920.0,111950.0,123170.0,122720.0,118530.0,122770.0,123440.0,120000.0,120600.0,123630.0,118310.0,111170.0,113930.0,110980.0,107170.0,102720.0,99750.0,100980.0,102860.0,103420.0,102480.0
Germany,955310.0,932370.0,892750.0,887010.0,875810.0,873090.0,902750.0,870900.0,863140.0,833350.0,830080.0,847500.0,833180.0,836550.0,820830.0,802170.0,814160.0,783600.0,789550.0,734660.0,772920.0,746380.0,760020.0,777630.0,737490.0,742310.0,747150.0,732200.0,709540.0
Djibouti,330.0,340.0,340.0,340.0,330.0,330.0,340.0,350.0,350.0,350.0,370.0,380.0,400.0,410.0,400.0,430.0,430.0,470.0,470.0,460.0,520.0,480.0,510.0,560.0,460.0,540.0,490.0,470.0,490.0
Dominican Republic,7860.0,8230.0,9620.0,9520.0,11140.0,11850.0,12730.0,14500.0,16610.0,17790.0,18660.0,18970.0,20870.0,18720.0,17250.0,18660.0,20320.0,20580.0,20540.0,19630.0,20640.0,20870.0,21640.0,21250.0,21320.0,23450.0,24460.0,23390.0,25120.0
Algeria,67890.0,66940.0,66160.0,73470.0,71550.0,73050.0,71410.0,72830.0,74540.0,77540.0,78590.0,74770.0,80410.0,83840.0,84890.0,88990.0,93750.0,100520.0,103990.0,112770.0,113140.0,118140.0,126640.0,129910.0,138810.0,145970.0,143350.0,145100.0,151670.0
Ecuador,15600.0,16160.0,17210.0,16140.0,17030.0,19780.0,22490.0,23550.0,23380.0,20720.0,21370.0,23420.0,23590.0,23960.0,25420.0,27150.0,29110.0,29580.0,30280.0,32430.0,34650.0,35500.0,36630.0,39430.0,41200.0,40720.0,39010.0,37760.0,39530.0
