1990,16
1991,13
1992,10
1993,8
1994,5
1995,10
1996,12
1997,10
1998,27
1999,12
2000,6
2001,14
2002,28
2003,34
2004,26
2005,8
2006,22
2007,10
2008,21
2009,13
2010,12
2011,8
2012,7
2013,9
2014,9
2015,8
2016,11
2017,13
2018,24
