1990,65.4377142478624
1991,64.4846735152382
1992,63.531632782614
1993,62.5785920499898
1994,61.6255513173656
1995,60.6725105847414
1996,59.7194698521172
1997,58.766429119493
1998,57.8133883868688
1999,56.8603476542447
2000,55.9073069216205
2001,55.8178375663099
2002,55.7283682109993
2003,55.6388988556887
2004,55.5494295003781
2005,55.4599601450675
2006,55.3704907897569
2007,55.2810214344464
2008,55.1915520791358
2009,55.1020827238252
2010,55.0126133685146
2011,54.5013110175152
2012,53.9900086665158
2013,53.4787063155164
2014,52.967403964517
2015,52.4561016135176
2016,50.7434545269582
2017,50.0393338229866
2018,49.7168177792076
