1990,16.6733254320841
1991,16.8840485661567
1992,17.0947717002293
1993,17.3054948343019
1994,17.5162179683745
1995,17.7268470575253
1996,17.9375881061592
1997,18.1483103458886
1998,18.359032585618
1999,18.5697548253474
2000,18.7804969919467
2001,19.031006736957
2002,19.2815168805051
2003,19.5320280602681
2004,19.7825365378985
2005,20.0330481613855
2006,20.2835578851316
2007,20.5340680339958
2008,20.7845781828599
2009,21.0350872157688
2010,21.2855968996448
2011,21.49109623203
2012,21.6965960161134
2013,21.9020948706353
2014,22.1075946459969
2015,22.3130941846073
2016,22.5428773041647
2017,22.7423102916965
2018,22.9417353835101
